,lumen_bin,timepoint,endothelial_mean,endothelial_std,endocardial_mean,endocardial_std,mono_mean,mono_std,endothelial_se,endocardial_se,mono_se
0,1,24h,0.01046092601506495,0.0005501058388509905,0.34615374608089294,0.039835757935788176,0.196822216729329,0.0899573298394782,0.00038898356902184947,0.02816813457010164,0.06360943794692998
1,1,48h,0.0365903959828182,0.0035020778976352276,0.31443464730863624,0.03567911570391602,0.10270075686833975,0.00021293383769858433,0.0024763430296613972,0.025228944660978456,0.00015056696058074467
2,1,4h,0.0126417348891906,4.720907251049757e-05,0.31988543978097295,0.04576454923665977,0.0398973626231514,0.009617268692844598,3.338185530570026e-05,0.032360423103187756,0.006800435909203499
3,1,Control,0.050667324777659235,0.03505007091510372,0.2992317439713054,0.03589494572732531,0.0007547820598908334,0.0007799279402575512,0.024784142825139216,0.025381559534114813,0.000551492335392971
4,2,24h,0.0733101744546659,0.02440009611389417,0.013464821791163598,0.008294468773458824,0.1486716765798528,0.07903781000576969,0.017253473423738095,0.005865075116052799,0.0558881714252137
5,2,48h,0.1460033844883698,0.03456182730670784,0.0026752054297775,0.0007934311193757133,0.08801209201976865,0.025801831696039536,0.024438902458771505,0.000561040524915,0.018244650159303554
6,2,4h,0.081062372188139,0.01658736582206721,0.0097341513292433,0.005090012003633255,0.0089062713019768,0.0050037324441019135,0.011729038854805694,0.00359918200409,0.0035381731424676
7,2,Control,0.10669141790380572,0.0797846816623021,0.0261116317106358,0.008644856712095535,0.0005279713150888667,0.00045848466264087316,0.0564162894382238,0.006112836803508793,0.00032419761402338793
8,3,24h,0.0954850156974765,0.05002883160111775,0.00413182056312065,0.0018846662861300859,0.11446156317039309,0.04595395054918375,0.0353757260799902,0.0013326603111962498,0.032494350055639096
9,3,48h,0.19704865364107443,0.044726600446410254,0.0020714951632681,0.0004926378253241496,0.10986238795110134,0.01402875275546456,0.031626482475077954,0.00034834754695570007,0.009919826204978452
10,3,4h,0.1104069895868658,0.009174298052221848,0.0072342815186313,0.00781748531348728,0.00535279275467375,0.00274332466185979,0.006487208365352603,0.0055277968769930986,0.00193982347139735
11,3,Control,0.13172340542962171,0.09959089013403816,0.019904217945102033,0.008243485324706711,0.0020406843496367,0.0013814890068190137,0.07042139375818281,0.005829024373711904,0.0009768602448563932
12,4,24h,0.09523014724973106,0.03899958397776032,0.0021273011634088002,0.001974676312704925,0.0869419408281097,0.036247932093205225,0.02757687029412855,0.0013963070113621,0.025631158587094898
13,4,48h,0.20078964338875643,0.07722774069414533,0.0006067809287115501,1.4314977261941385e-05,0.12525471180022346,0.0009054873798945224,0.05460825914054645,1.0122217494449988e-05,0.0006402762666022562
14,4,4h,0.11651483616774995,5.312272697233026e-05,0.0068560235063663,0.009695881426651962,0.00777053097082475,0.005632320731337117,3.756344047725624e-05,0.006856023506366299,0.00398265218294605
15,4,Control,0.15127251994090782,0.10215901961775711,0.016413906205963533,0.005409509031016388,0.0006038647342995,0.0010459244007058146,0.07223733553108559,0.0038251005187215576,0.0007395802363475573
